,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
56,18229.54634,-32438.99732,-51458.00727,-3901.69816,-36233.45181,-60478.1208,-72363.50445,22798.86875,51642.34211,-58413.84779,-84919.86512,-51581.74653,43775.46683,-14766.03177,40358.77918,-27681.54027,S
58,21359.95285,-33096.83151,-52123.21754,-4720.174339,-36925.46182,-61018.60833,-72995.00829,26148.47882,54106.7784,-58679.02889,-85164.50496,-51788.05313,43486.1235,-15128.10768,39835.05545,-28277.19191,S
60,17467.933,-32256.58473,-51471.44067,-3782.317493,-36384.52725,-60519.53858,-72494.82095,22449.53334,53494.20649,-58763.76435,-85226.77692,-52009.35775,43386.1665,-15173.50408,39926.67525,-28220.39613,S
62,20533.87708,-32981.20594,-51996.97489,-4557.744212,-36722.46328,-60928.84373,-72879.56153,25015.5583,51961.10034,-58548.29354,-85073.84629,-51610.58028,43758.3454,-14884.94305,40283.61026,-27878.83912,S
64,19403.21409,-32692.33199,-51953.36663,-4330.248157,-36879.1043,-60918.22665,-72977.77509,24526.47978,54910.63653,-59009.87941,-85464.68889,-52211.73045,43142.6666,-15470.33524,39544.92981,-28679.70212,S
66,18252.47923,-32440.31607,-51589.79316,-3920.115998,-36413.51746,-60625.70937,-72579.89169,22823.92506,51674.59567,-58651.58095,-85162.60507,-51797.37381,43688.11622,-14945.0916,40384.90836,-27870.65838,S
68,21338.94221,-33138.09283,-52296.91294,-4794.628,-37126.09108,-61201.4009,-73257.95421,26107.64219,54092.07095,-58916.60558,-85403.28865,-52001.93697,43390.23452,-15305.55818,39868.9407,-28464.38777,S
70,17572.36035,-32272.58858,-51606.62402,-3798.54486,-36569.84557,-60667.7977,-72713.75629,22544.28238,53501.78373,-59016.98727,-85477.5635,-52234.75274,43259.81209,-15369.7971,39919.6121,-28435.82224,S
72,20615.41624,-32967.39256,-52092.34978,-4526.429418,-36878.63492,-61047.75501,-73058.84487,25081.5183,52052.85425,-58748.18519,-85269.87109,-51777.369,43737.55827,-15009.24111,40442.73233,-27987.20038,S
74,19490.52,-32704.87132,-52077.26235,-4346.05084,-37051.79388,-61063.78121,-73188.93202,24609.00242,54962.09025,-59227.98773,-85674.21415,-52390.92438,43095.77264,-15612.15706,39661.15888,-28821.76981,S
76,18297.11566,-32427.8438,-51692.99116,-3907.263745,-36576.90872,-60758.47873,-72772.36256,22881.50315,51749.51872,-58875.34426,-85376.77948,-51985.70961,43636.30487,-15093.0825,40494.74484,-28020.2139,S
78,21331.45438,-33155.48249,-52440.4782,-4840.382021,-37307.54254,-61369.06134,-73494.52507,26102.79186,54093.94849,-59137.41847,-85620.92759,-52185.62361,43345.48632,-15450.44219,39979.44772,-28611.21638,S
80,17580.74225,-32312.82172,-51782.5546,-3886.476622,-36778.18618,-60863.68839,-72983.74301,22570.21041,53526.63887,-59274.88169,-85725.86903,-52461.57825,43146.10876,-15563.22909,39919.16507,-28657.39508,S
82,20625.02749,-32983.17289,-52236.56323,-4571.334073,-37067.50716,-61220.42223,-73294.07463,25105.07704,52053.07776,-58999.73172,-85513.90743,-52003.591,43618.71405,-15201.4214,40435.35625,-28205.01813,S
84,19627.15621,-32733.79448,-52230.52826,-4401.036132,-37257.31817,-61246.81964,-73431.82843,24741.16829,55074.31836,-59448.24182,-85890.60138,-52581.07067,43040.45207,-15768.55222,39744.12855,-28984.33405,S
86,18274.56275,-32488.90877,-51904.75159,-4039.273147,-36817.99463,-60988.20996,-73089.82439,22864.2029,51808.30381,-59157.02095,-85645.33569,-52247.24737,43470.61139,-15328.71459,40426.05793,-28292.68167,S
88,21420.70489,-33185.7244,-52600.71785,-4903.995085,-37517.67129,-61553.35147,-73746.69746,26186.20857,54100.76578,-59409.23803,-85880.27488,-52430.57638,43197.31661,-15669.04225,39929.11159,-28859.72307,S
90,17707.09666,-32331.776,-51930.16552,-3929.414323,-36988.38198,-61037.16028,-73223.30901,22701.61631,53673.51218,-59519.90152,-85962.37283,-52679.4407,43057.12647,-15748.79327,39963.66739,-28853.0399,S
92,20623.37346,-33003.11065,-52389.67268,-4630.163864,-37278.21705,-61397.51511,-73541.84372,25104.89823,52114.70152,-59248.64075,-85757.18382,-52224.00155,43533.26333,-15385.39861,40485.42416,-28395.61145,S
94,19602.68105,-32780.01789,-52415.37719,-4506.08933,-37487.78701,-61445.90663,-73713.21454,24725.65618,55033.12409,-59727.21395,-86165.93017,-52827.76687,42898.36203,-15985.78882,39707.89638,-29227.92336,S
96,18206.65815,-32494.54141,-52041.67837,-4086.524735,-37018.1098,-61147.75671,-73320.38263,22816.63839,51813.66823,-59409.50625,-85897.35161,-52463.96988,43379.97507,-15507.41679,40460.79254,-28480.97276,S
98,21270.72469,-33218.20148,-52771.1052,-5008.467139,-37728.51529,-61737.99923,-74009.93395,26045.50434,53982.43564,-59665.32197,-86132.55902,-52644.12494,43092.41987,-15853.93588,39931.59264,-29059.74884,S
100,17553.76369,-32358.5981,-52096.82013,-4029.706601,-37197.16963,-61216.33187,-73483.50566,22563.57194,53549.95174,-59783.33918,-86227.03984,-52902.84638,42928.8051,-15948.57317,39914.96294,-29080.89359,S
102,20418.11739,-33025.30593,-52547.54305,-4727.215138,-37477.23698,-61568.66241,-73795.40191,24907.8676,51940.98377,-59496.27572,-86008.14921,-52430.30815,43419.64941,-15568.99584,40452.99178,-28601.29221,S
104,19438.01575,-32806.34824,-52580.26601,-4614.964678,-37683.74475,-61618.73032,-73967.21977,24562.68961,54875.20902,-59960.61086,-86400.01999,-53011.85584,42803.54593,-16152.1305,39689.635,-29416.41562,S
106,18058.48844,-32502.25276,-52182.69553,-4163.213571,-37197.10257,-61296.50757,-73544.8165,22676.56001,51619.81155,-59653.16262,-86145.25481,-52663.28039,43252.79364,-15692.24336,40378.53812,-28705.20546,S
108,21325.21824,-33191.71467,-52843.83778,-4996.240735,-37873.75693,-61833.12825,-74153.63331,26091.8395,53943.36479,-59844.60531,-86327.66739,-52779.75533,43078.71825,-15958.07266,40016.3281,-29168.02069,S
110,17606.335,-32333.6759,-52181.66735,-4029.728953,-37352.80482,-61326.3248,-73646.82986,22607.09078,53620.15857,-59945.74695,-86404.71386,-53024.26106,42948.00525,-16030.84994,40063.93731,-29158.96823,S
112,20451.75677,-32998.10386,-52624.366,-4717.24626,-37619.37173,-61672.48627,-73948.37725,24928.49826,51947.39872,-59673.88268,-86195.03214,-52571.28061,43408.67471,-15667.38822,40563.34234,-28704.57962,S
114,19490.85528,-32794.65828,-52673.49513,-4630.11916,-37839.55876,-61738.46862,-74145.29611,24598.98884,54894.18565,-60135.60267,-86586.5453,-53147.95561,42794.33701,-16253.65213,39797.95156,-29522.56406,S
116,18025.81019,-32462.19843,-52244.87808,-4134.558634,-37326.34036,-61392.01658,-73694.95317,22634.96341,51650.81342,-59813.98342,-86318.83846,-52788.89719,43264.95299,-15775.59302,40525.59024,-28782.43074,S
118,21175.86388,-33187.89252,-52949.8521,-5033.255223,-38016.40576,-61961.42727,-74353.90495,25925.52017,53824.52057,-60013.83037,-86506.30254,-52903.58399,43069.64345,-16047.79256,40126.99159,-29260.86983,S
120,17325.15005,-32342.72836,-52316.58248,-4110.150529,-37501.68979,-61473.57809,-73881.38907,22331.56083,53404.24072,-60157.21681,-86625.99613,-53190.98272,42851.9151,-16175.93511,40032.08608,-29338.87742,S
122,20092.20661,-32987.64324,-52725.15002,-4767.761203,-37731.26456,-61789.25178,-74145.29611,24576.88297,51629.04282,-59856.60819,-86398.9024,-52707.26862,43339.96544,-15781.82915,40551.36181,-28848.32368,S
124,19228.57991,-32766.20451,-52733.93425,-4631.035582,-37920.785,-61819.20312,-74287.67673,24349.27515,54586.84916,-60283.43711,-86768.17557,-53248.91844,42769.61598,-16327.05525,39831.34506,-29619.61533,S
126,17709.82357,-32411.7729,-52278.62922,-4108.831776,-37383.04673,-61452.65686,-73810.82461,22333.99717,51365.35929,-59938.39323,-86481.51445,-52870.92809,43269.15512,-15825.12448,40599.08278,-28848.34604,S
128,20942.914,-33114.55645,-52938.2739,-4964.747127,-38035.58356,-61982.70613,-74418.41208,25696.81712,53539.53583,-60098.67759,-86637.50728,-52946.02995,43127.2886,-16053.24639,40270.46743,-29271.68808,S
