,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter,,,,,,,,,,,,,,
48,-38126.66692,-56213.8997,-79856.36799,-36890.07901,-55543.1462,-121312.886,-23676.84527,-41523.17095,-23560.75031,-83570.69147,-130327.6799,-112178.9351,-45789.98486,-46299.38111,-68277.78438,-57318.07587,C,,,,,,,,,,,,,,
50,-37967.76837,-56061.32669,-80919.59577,-38239.74439,-55380.11257,-122217.4164,-24765.6658,-41382.98081,-23303.59349,-83818.97465,-130609.2671,-112532.1597,-46086.99484,-45834.21896,-68718.829,-57906.23968,C,,,,,,,,,,,,,,
52,-38355.25821,-56464.97684,-80041.26162,-37115.40694,-55585.10042,-121514.5211,-23820.54464,-41735.73604,-23480.4405,-84112.18484,-130878.9856,-112856.6847,-46412.48094,-46187.48828,-68951.28714,-57749.41984,C,,,,,,,,,,,,,,
54,-37911.7549,-55993.5115,-80446.90108,-37625.36199,-55430.87339,-121849.4844,-24278.19661,-41321.96055,-23452.56787,-83470.77918,-130292.3864,-112106.9848,-45641.18929,-46074.99195,-68147.87604,-57416.4906,C,,,,,,,,,,,,,,
56,-38248.8192,-56353.79927,-80708.43884,-37957.64303,-55476.42624,-122100.8521,-24488.88415,-41632.87331,-23317.38452,-84278.23595,-131086.4769,-113106.823,-46612.08202,-45908.82908,-69231.04158,-58112.36746,C,,,,,,,,,,,,,,
58,-38158.4511,-56242.82285,-79898.59043,-36914.37535,-55566.8614,-121430.2103,-23677.64994,-41540.5159,-23562.02436,-83666.84868,-130494.6474,-112343.7568,-45856.70481,-46298.86702,-68287.88737,-57316.69007,C,,,,,,,,,,,,,,
60,-37994.18813,-56077.21878,-80952.87752,-38255.97176,-55394.44004,-122325.9565,-24762.08952,-41387.11588,-23311.05898,-83896.46815,-130760.1191,-112678.2507,-46140.70608,-45842.22088,-68722.94172,-57903.66923,C,,,,,,,,,,,,,,
62,-38373.92192,-56470.72124,-80061.91463,-37109.05905,-55581.47944,-121613.3382,-23805.9713,-41730.25986,-23474.58434,-84183.91158,-131027.0436,-113000.764,-46463.84525,-46190.97515,-68951.77888,-57753.04082,C,,,,,,,,,,,,,,
64,-37929.79275,-56000.37348,-80445.82819,-37583.47482,-55427.9006,-121936.6115,-24248.82641,-41319.90419,-23440.38617,-83525.71976,-130428.8215,-112234.1215,-45656.0532,-46075.32723,-68099.21629,-57401.82786,C,,,,,,,,,,,,,,
66,-38264.57718,-56361.39886,-80729.29302,-37950.55752,-55474.16871,-122205.9723,-24490.47112,-41633.9462,-23320.62552,-84342.76543,-131234.6689,-113241.2688,-46642.10041,-45920.67551,-69210.47797,-58122.00107,C,,,,,,,,,,,,,,
68,-38165.00016,-56243.58281,-79898.61279,-36874.45514,-55558.72536,-121520.5337,-23656.48283,-41535.91145,-23555.45295,-83729.45592,-130641.8336,-112475.6098,-45879.36948,-46297.83884,-68262.42873,-57315.75129,C,,,,,,,,,,,,,,
70,-37988.06375,-56067.67459,-80962.44406,-38228.50147,-55383.44298,-122425.3994,-24753.68527,-41387.11588,-23305.87337,-83946.31254,-130899.8622,-112799.5983,-46140.54962,-45832.96726,-68666.32475,-57894.21444,C,,,,,,,,,,,,,,
72,-38360.84615,-56456.43848,-80079.10312,-37096.98911,-55575.71269,-121718.1008,-23806.99948,-41729.76812,-23473.57851,-84251.63737,-131183.5505,-113140.9765,-46488.52157,-46173.18316,-68933.24929,-57762.45091,C,,,,,,,,,,,,,,
74,-37902.99301,-55974.71368,-80442.7213,-37545.09688,-55419.49635,-122025.035,-24225.67001,-41306.22492,-23444.05186,-83583.43197,-130576.0748,-112363.9852,-45673.82284,-46066.18536,-68072.23774,-57387.99213,C,,,,,,,,,,,,,,
76,-38245.82407,-56346.80317,-80760.31724,-37941.34861,-55464.49041,-122326.0012,-24502.11638,-41630.43697,-23297.35736,-84395.71671,-131380.8493,-113371.9371,-46639.44055,-45883.41515,-69145.25558,-58094.95546,C,,,,,,,,,,,,,,
78,-38182.59098,-56264.03466,-79946.98196,-36908.04981,-55572.42698,-121646.9999,-23690.79276,-41561.68301,-23565.53359,-83817.6112,-130822.6369,-112646.1759,-45948.1011,-46311.96515,-68293.00592,-57346.17202,C,,,,,,,,,,,,,,
80,-37976.97729,-56058.9574,-80982.58298,-38215.49275,-55377.29625,-122525.8482,-24748.27614,-41367.89338,-23293.62461,-84008.15982,-131052.2564,-112935.631,-46185.58838,-45837.88465,-68682.9321,-57894.10268,C,,,,,,,,,,,,,,
82,-38377.11822,-56476.04096,-80127.20408,-37113.77527,-55586.19566,-121844.4776,-23828.07718,-41732.56209,-23452.47846,-84324.07937,-131346.6735,-113291.7837,-46534.02973,-46178.90521,-68934.79156,-57768.68704,C,,,,,,,,,,,,,,
84,-37944.20963,-56015.48326,-80496.05256,-37583.29601,-55445.60319,-122147.2767,-24254.392,-41331.72826,-23453.64075,-83668.79328,-130747.2668,-112524.1801,-45747.87417,-46092.42631,-68116.56125,-57417.6529,C,,,,,,,,,,,,,,
