1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
-29373.634382919598,-18262.872786864376,-27718.778278682028,51586.35098771465,-26274.944993847013,-33260.513336719676,-31489.159940381047,-695.2733630267815,-34155.63364692136,-34664.40405421305,-37912.93953811402,-41950.31278733168,11944.995754360647,-268.5115061416037,93749.98882412778,-7865.020080211173,G
-53119.68065734871,-31667.683323345584,-50902.3652556378,109612.73129138128,-48819.76381775902,-61917.12610925748,-57533.32317272701,6590.858887536394,-52925.33223930982,-57403.481889186136,-60709.50605982615,-68980.99261295708,15284.79341087263,273.6524073663244,159854.11075998674,-4883.319721617666,G
-9647.616404010821,5658.992309450186,-15533.83654759366,151050.54093009722,-16767.921062460075,-24667.474587854696,-18075.29694739544,61264.6116333737,-1914.6280782971476,-21846.975010272865,-20644.205289388334,-31552.52713591184,-68080.82080850849,18533.708874429332,184413.40290467776,37847.29246464878,G
-65043.62106843246,-41848.6794052934,-60539.02930486552,97898.94198166633,-57289.53269595298,-72023.53441995793,-68687.87183617018,-8868.345185320995,-25807.949996942283,-36653.95517992439,-37176.00252342255,-47545.40145938414,6202.6537898366205,-459.90949391239815,177154.5621340945,19519.309046186096,G
-17698.87121902361,-1347.452562743731,-22129.881039843684,143906.78929171435,-23023.07910002221,-31672.22072747001,-25142.650323230067,51652.445096068994,-39225.63513822974,-48990.21822097519,-51395.89177321098,-59963.74010607482,-29539.886658178173,11654.959518308582,167795.01501262368,5509.705008233191,G
-38150.78445086294,-18746.408074666033,-38645.98734927027,123610.6230152396,-37464.31767515155,-48972.49328762213,-44295.63662953814,24796.8017812731,5186.83405957628,-14987.068174727938,-12883.187876127706,-24860.191328548353,-43412.094522964304,10383.324072757254,187500.0,45572.569438525374,G
-53539.98286008631,-31992.677687725747,-51203.845584850984,109793.48984879135,-49179.64925523392,-62326.92299210108,-57969.33865181669,6275.296959316369,-52707.67095180404,-57159.51259845646,-60491.82242057591,-68829.11250938327,15714.148070114623,172.24254277259624,161103.23799887157,-4501.708388532208,G
-9385.966883416997,5914.696266018899,-15285.5086666952,151856.3436694555,-16634.99523818436,-24496.0814113714,-17894.672500452103,61690.07708908047,-2442.643337564866,-22205.564046569354,-21097.69983264206,-32001.014888407575,-67908.26534131353,18561.425037553912,184501.66994353177,37506.18249251634,G
-64894.601988148934,-41689.87026093844,-60373.31347147387,98602.70900758613,-57222.27629688696,-71944.61041028624,-68602.13054443963,-8538.209919716111,-25308.164990921618,-36254.52950650806,-36772.73234995989,-47206.16903378595,5661.182780406807,-367.61914105643524,177815.72673508248,20062.277622494417,G
-18302.323615827994,-1837.2463389928746,-22578.972289439713,143913.5171667954,-23506.65909131278,-32236.311702288593,-25737.18437399678,51066.337652961935,-39919.74621054485,-49443.06456363971,-51952.83018980386,-60521.81846163493,-28555.582887599816,11456.610138012187,168205.9071309456,5062.446601682496,G
-37985.33683840476,-18573.49497955978,-38467.978056428205,124326.25881746518,-37359.82326982299,-48871.19518175068,-44191.90218352106,25106.73106989039,5037.099723470178,-15103.051376706528,-13055.34101192248,-25051.164633174496,-43924.30709890212,10437.616460039195,187500.0,45538.63949044222,G
-54288.49807840563,-32613.40798299408,-51782.01815867641,109563.13277043495,-49743.717878308045,-63012.96508466782,-58715.97632360177,5332.2098055135975,-52931.00958240147,-57307.57055372841,-60655.83952138895,-69035.30735198347,15978.055116898433,-22.1505787552093,161782.57456810173,-4606.091035138493,G
