1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
-27407.99962377544,-39658.07433820657,-21664.562423773103,14913.03919709196,-40750.96288334881,-37956.36897759068,-17150.87350021285,86257.39351003093,-22479.618785335875,-54215.78785369252,-70755.87758491965,-63818.209030414706,-45378.73511060895,-56274.53998023749,-9420.43327336708,-5148.143189924144,A
-45348.0014619829,-71079.03910625448,-33675.406417299084,23581.984470127165,-88248.53160959859,-80190.41480903802,-25902.296710288134,160535.12371005103,-46210.46587353538,-87064.73851975662,-116669.42288511073,-109223.00627505855,-77379.88410948326,-98435.29444161589,-10794.082080612432,-15242.995648741204,A
-48469.15435423307,-73302.45653420169,-36978.59191639327,21550.613230539948,-92065.89663814267,-82265.95309566893,-28278.35420112064,155032.28068736562,-39900.43430333547,-95298.69649394709,-126232.25912240257,-117568.14182616971,-86123.50656074364,-107539.07055128462,-19829.193631314472,-11777.312967456934,A
-51409.6827995399,-76422.89417062928,-39837.089459549126,28366.062446363267,-83037.22238984375,-77048.31833223323,-31346.30994156718,169816.12680150592,-47348.79551515526,-88374.48368960425,-119043.31225673108,-111576.19793131328,-78775.95171641729,-100027.69977184532,-12102.843773704026,-13710.604752374264,A
-43500.85330019633,-69146.26141145962,-31876.0239334135,19713.501002013803,-93745.09379209207,-83433.92115043654,-24006.153524655525,151733.25261274012,-41751.65048261291,-91447.91560744234,-121229.06699527109,-113048.64144905108,-81987.15978707788,-103144.94110881581,-15636.721627321438,-13970.376726433842,A
-53697.20503058494,-78098.44799023247,-42242.450087362544,27394.409763146614,-85214.32700327957,-78192.12415124466,-33108.96850931269,166744.28185752415,-43166.96294152295,-93815.70295282638,-125327.75107952965,-117037.13143314498,-84586.24298408545,-106092.8456297929,-18093.223046448595,-11564.390249775679,A
-45373.16952623958,-71092.6289668833,-33707.77174327037,24023.99021673086,-88237.24397864866,-80284.73917063943,-25926.168373366403,161030.08073926935,-46224.256899864304,-87216.57391984152,-116837.84327958147,-109377.65799494482,-77470.02869487151,-98593.29892317044,-10856.309337176006,-15222.052064186582,A
-48367.65508266152,-73215.46354478164,-36875.19274654302,21836.961428756887,-92208.18784334515,-82469.89041207916,-28190.556548900197,155194.08496547758,-39868.42660527547,-95471.47547858662,-126394.19751098128,-117710.07540346091,-86255.49361175223,-107708.94380914496,-19929.351798218704,-11809.253610283567,A
-51501.07908261765,-76503.67337509077,-39912.861873252616,28768.192680858694,-83059.01534068768,-77175.34329597275,-31415.287424956256,170199.88390205908,-47344.436924986476,-88629.33827988367,-119310.57206518318,-111811.27122774973,-79010.26505354227,-100290.57863838419,-12299.516773166273,-13684.52026659492,A
-43469.65026493672,-69135.95725726572,-31853.336912791365,20156.333763162347,-93752.87219916252,-83537.23091330897,-23969.474312004368,152262.16194178606,-41782.78646263915,-91529.74534389321,-121306.5828450421,-113108.5441241913,-82026.43180208586,-103233.49872034774,-15597.159039635544,-13975.517627658563,A
-53675.45678322992,-78063.15458573755,-42221.908834208116,27730.15531660978,-85354.4500892699,-78366.33364752933,-33089.83541605895,167021.2199713254,-43101.13705410207,-94032.33606008721,-125562.15382363247,-117223.43322317998,-84771.87422178677,-106339.36301939047,-18181.467733558147,-11530.169729014604,A
-45514.410199452665,-71235.88129709737,-33846.911352504656,24394.96211945559,-88194.48509150566,-80374.61553509421,-26057.909555185983,161305.00719606964,-46289.30047622925,-87372.83496532857,-117008.65531070893,-109510.91909538736,-77612.47636228519,-98768.22367527768,-10913.64156170387,-15266.464980419278,A
-48284.97597992134,-73156.49964290853,-36784.01998090983,22097.783934805862,-92326.4956267471,-82625.23503604354,-28111.543132250685,155257.80978891967,-39910.53729182926,-95635.00084102164,-126542.45663195332,-117810.56884653198,-86418.72840150933,-107885.58964557525,-20031.409863401637,-11868.575140067953,A
