1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Letter
-27397.695469581544,-38367.77518603506,-21523.522916260114,9294.83882127271,-40481.847880106914,-40075.046131020325,-16603.702795946934,82859.9060010798,-19557.48582571576,-50839.132170573735,-69150.99998128414,-64546.026533368415,-47472.73593815994,-54996.73545321649,-13503.068805106737,-5625.799968934056,A
-45682.65177996776,-69012.4862208946,-33630.65822489956,13995.745956390616,-85239.02568090269,-83049.78407022763,-25155.100244891673,157574.67986043452,-44702.907765258286,-78634.08519435945,-110666.8172081491,-101890.29298905052,-73964.11287356769,-88656.04861450776,-12756.43113332166,-14428.743949978823,A
-45723.46606534315,-68403.4905914653,-33831.04161394139,9271.302434361272,-92381.07858670695,-86967.86605928732,-24748.23144057172,146949.68872662648,-37036.08060313232,-86949.51527708952,-119873.85837720137,-109822.97179972791,-82832.5027623776,-97706.04642701703,-22016.267122777357,-12217.888202415492,A
-52056.184656165206,-74532.60714204397,-40182.69213231708,18082.24833992104,-81166.51548940128,-80499.07004822136,-30872.20708992566,165119.60060830123,-44193.9808957554,-81638.8749049753,-114851.60021204951,-105818.74618753746,-77158.13245274215,-92109.12491191924,-15917.191316746632,-12055.323964992043,A
-41982.387540625044,-65431.021503331845,-29885.24346175712,9081.022033813242,-91863.72510954442,-86876.17920353165,-21562.616117312446,147186.7960318084,-40324.759820075014,-82158.32944611662,-113995.61780638908,-104611.01437938385,-77637.24209514167,-92378.39637737232,-16633.94470619496,-14418.506851018294,A
-52241.34650723297,-74246.70597871614,-40479.65740915029,15190.603159737964,-85677.87983153819,-82985.47810142972,-30720.952835196596,158485.28992954374,-39166.47007065655,-87008.63564117381,-120757.4004837752,-110893.41919343702,-82869.98663782915,-98012.5782504771,-21838.079015979652,-10777.050051337488,A
-45861.13045944339,-69164.70160063525,-33803.9289479171,14480.309424437217,-85085.69271393928,-83032.26030257468,-25303.269958885903,158309.73932859176,-44801.903641450845,-78829.05946124309,-110808.3037505512,-102077.22062793025,-74033.51504010143,-88857.1249076277,-12738.795606946422,-14419.937362663433,A
-45592.238973646046,-68278.67845042687,-33682.961306924975,9500.363111539258,-92507.56710857953,-87141.49441021615,-24599.68174692175,147186.5948661083,-37055.7948417419,-87079.31185714148,-119900.63576705883,-109892.21750405044,-82846.0032160286,-97831.73028608922,-21944.428616098,-12279.176685711944,A
-52175.69943376773,-74625.00925362221,-40321.07178223989,18405.253399044683,-81212.5153794903,-80617.93662523468,-30958.060140378493,165504.85527573293,-44110.34066800364,-82008.86333094399,-115175.05230606227,-106151.69777294372,-77451.72261616262,-92499.22990789771,-16130.404607105806,-11999.891638742882,A
-41986.90259300501,-65457.73183795594,-29921.743860452636,9463.63919539919,-91775.90510557951,-86937.33357636137,-21576.541254108102,147744.33794550158,-40477.668103893775,-82250.93272339496,-114000.69165238044,-104664.54680735432,-77646.56277257953,-92462.17071559081,-16546.638792352533,-14464.797313785233,A
